7,17;8,59;0,35;7,51;2
1,85;6,91;7,43;8,36;1
9,77;9,38;1,31;7,18;2
4,02;8,09;0,96;3,47;2
8,27;6,18;5,15;8,78;1
2,78;9,52;0,30;9,04;2
1,21;7,94;7,57;8,87;1
3,62;6,82;5,55;2,51;1
2,44;1,46;4,75;3,38;1
7,79;2,63;7,83;0,23;2
3,30;4,69;2,60;4,81;1
6,98;5,20;9,71;7,29;1
5,43;7,93;9,07;1,15;1
4,45;6,01;7,37;5,88;1
7,14;7,47;6,09;4,98;1
3,95;9,66;1,75;7,29;2
0,89;9,43;0,96;3,77;2
8,44;6,59;7,36;1,17;1
6,36;6,64;5,04;8,89;1
8,17;9,22;1,69;7,27;2
0,18;8,72;2,75;3,25;2
3,18;5,31;9,69;8,34;1
8,73;9,31;2,32;9,65;2
3,05;8,72;1,69;6,72;2
1,07;2,50;5,79;7,09;1
3,49;2,80;4,55;3,06;1
8,12;5,70;5,91;0,43;1
9,46;6,88;5,48;6,79;1
0,79;6,25;5,04;8,92;1
5,54;9,94;0,44;6,90;2
2,30;9,67;0,28;8,36;2
4,40;8,68;1,78;8,04;2
7,83;9,67;1,92;8,22;2
6,07;8,17;2,89;4,74;2
2,10;8,47;1,41;6,73;2
4,71;7,48;9,97;7,30;1
0,32;6,86;7,52;2,85;1
9,45;8,65;2,44;4,56;2
5,89;8,79;1,03;3,53;2
3,89;5,80;5,01;9,19;1
8,37;3,92;9,08;6,10;2
7,93;1,68;9,66;0,26;2
6,48;9,82;0,67;8,72;2
3,61;7,50;4,69;7,05;1
3,22;6,08;7,04;9,54;1
5,90;8,45;1,30;4,45;2
4,21;4,36;4,24;6,48;1
6,69;9,95;1,00;4,84;2
6,67;5,66;6,04;2,51;1
8,17;4,14;9,35;7,57;2
9,81;8,43;0,61;8,34;2
1,45;2,06;0,65;7,02;1
4,01;9,70;0,63;7,01;2
7,63;6,61;5,47;3,73;1
4,02;8,00;2,46;4,96;2
7,78;0,69;8,45;9,20;2
9,58;2,59;7,86;7,66;2
6,21;5,68;7,30;7,74;1
2,11;9,87;0,61;0,70;2
9,77;0,37;9,33;2,83;2
5,92;7,71;4,52;3,77;1
7,47;9,66;0,39;4,56;2
4,94;0,77;0,22;2,67;1
9,06;5,87;7,49;8,12;1
3,22;7,31;4,88;9,41;1
0,18;1,03;5,64;7,31;1
2,44;8,85;1,18;7,52;2
4,63;5,91;7,89;7,61;1
3,95;7,27;3,83;7,80;1
5,26;4,03;8,73;8,32;2
4,37;6,85;9,38;1,61;1
8,86;8,10;3,08;5,27;2
0,76;9,19;1,76;7,74;2
7,75;5,08;5,10;5,52;1
5,15;0,67;9,09;0,61;2
7,46;1,50;7,35;4,61;2
7,88;5,32;5,03;1,28;1
6,57;8,37;1,71;4,72;2
2,99;8,79;1,81;3,44;2
9,49;5,46;5,58;3,61;1
6,70;8,37;2,28;4,72;2
8,74;7,80;6,26;7,20;1
6,55;6,22;7,04;2,07;1
7,55;9,11;1,49;8,12;2
7,24;5,22;6,59;3,19;1
3,91;6,73;7,20;7,99;1
6,41;5,86;7,06;6,24;1
8,17;5,80;8,83;7,66;1
1,97;5,17;7,52;3,07;1
1,86;5,52;8,17;5,24;1
5,64;5,50;6,09;1,97;1
7,16;6,07;5,88;1,67;1
6,75;5,31;6,75;0,14;1
4,92;1,03;0,22;0,97;1
4,37;6,00;9,95;3,42;1
1,04;9,72;0,98;9,06;2
8,86;7,83;7,76;2,56;1
1,83;7,45;8,92;6,30;1
0,31;5,05;6,54;5,53;1
8,16;4,81;9,50;1,70;2
4,13;8,83;1,34;8,28;2
4,23;7,07;4,25;9,60;1
7,00;7,70;4,56;6,13;1
8,91;9,70;1,07;5,79;2
5,51;9,05;0,21;1,81;2
6,05;0,44;9,11;0,71;2
4,03;8,13;2,80;4,89;2
3,77;9,18;1,84;5,63;2
0,71;7,14;8,15;7,75;1
7,36;5,12;6,48;4,31;1
6,95;3,24;7,98;1,65;2
1,30;8,41;2,49;2,67;2
6,91;9,39;0,42;9,78;2
7,76;1,19;8,25;2,49;2
8,00;8,16;1,43;7,10;2
1,64;9,40;1,36;4,98;2
